Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,DeltaMass [ppm],mzCloud ID,KEGG ID,Match,Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDP-N-acetylglucosamine,607.0816,0.58,Reference-2920,C00043,97.75285024,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C111_RP,DL-Lactic Acid,90.0317,6.52,-0.1,0.0,-0.2,1.6,1.1,-0.5,1.5,1.3,-0.3,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,8.347853354804140000000000000000E-01,1.000000000000000000000000000000E+00,9.999999999961730000000000000000E-01,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.999999999925950000000000000000E-01,4.4E+08,5.8E+06,4.5E+08,3.5E+08,5.3E+08,5.3E+08,4.3E+08,5.1E+08,1.7E+08,1.9E+08,1.1E+08,9.9E+07,1.4E+08,1.4E+08,1.6E+08,1.6E+08,2.2E+08,1.8E+08,2.0E+08,1.4E+08,2.6E+08,2.2E+08,1.7E+08,1.8E+08,6.4E+06,5.5E+06,1.8E+05,5.9E+06,5.2E+06,5.5E+06,1.6E+05,16.9,17.4,26.4,16.9,69.5,10.3,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Dihydroxyacetone",90.0317,0.48,10467002,38.86259288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dimethyl carbonate,90.0317,0.48,11526,25.90839525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AI8650000,90.0317,0.48,11750,51.81679051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroxypropionic acid,90.0317,0.48,61460,51.81679051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-(−)-Lactic acid,90.0317,0.48,55423,64.77098813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glyceraldehyde,90.0317,0.48,731,51.81679051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dihydroxyacetone,90.0317,0.48,650,38.86259288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DL-Lactic Acid,90.0317,0.48,592,64.77098813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(−)-Glyceraldehyde,90.0317,0.48,388787,51.81679051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(+)-lactic acid,90.0317,0.48,96860,64.77098813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethyl hydrogen carbonate,90.0317,0.48,95020,25.90839525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-(+)-Glyceraldehyde,90.0317,0.48,71347,51.81679051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroxymethyl acetate,90.0317,0.48,128014,38.86259288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C112_RP,2-Hydroxy-2-methylbutyric acid,118.0631,14.03,0.6,-0.1,-0.5,-1.5,-1.5,0.0,-0.8,-0.4,0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.187824213739400000000000000000E-01,5.384992444418480000000000000000E-01,9.999999999961730000000000000000E-01,6.986005262699910000000000000000E-01,1.000000000000000000000000000000E+00,9.999999999925950000000000000000E-01,1.6E+06,2.3E+06,1.6E+06,1.6E+06,5.4E+06,3.5E+06,1.5E+06,2.6E+06,9.1E+06,7.2E+06,2.8E+06,2.8E+06,4.2E+06,3.6E+06,4.7E+06,5.0E+06,5.5E+06,4.9E+06,5.4E+06,3.1E+06,3.5E+06,3.2E+06,2.5E+06,2.3E+06,4.6E+05,4.2E+05,4.0E+05,3.7E+05,4.0E+05,3.3E+05,3.3E+05,32.9,35.2,41.3,52.0,32.7,75.1,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(2R)-2-Hydroxypentanoic acid,118.0630,0.79,5323635,38.06804127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erythronilic acid,118.0630,0.79,9990501,36.15261976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Hydroxy-2-methylbutanoic acid,118.0630,0.79,10626730,34.6573375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Hydroxy-3-methylbutyric acid,118.0630,0.79,745606,38.01237549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethyl lactate,118.0630,0.79,13837423,30.0959174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3-hydroxy-2-methyl-[R-(R,S)]-Butanoic acid",118.0630,0.79,13628066,36.15261976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3-hydroxy-2-methyl-[S-(R,R)]-Butanoic acid",118.0630,0.79,13628080,36.15261976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Methyl 3-hydroxybutyrate,118.0630,0.79,14417,33.08648193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-OH-isovaleric acid,118.0630,0.79,62571,34.68470008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-hydroxyvaleric acid,118.0630,0.79,24171,33.2450836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEC,118.0630,0.79,7478,12.63647986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-hydroxyvaleric acid,118.0630,0.79,88482,38.06804127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-hydroxyisovaleric acid,118.0630,0.79,90190,38.01237549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Hydroxy-2-methylbutyric acid,118.0630,0.79,86129,39.48029516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Hydroxyvaleric acid,118.0630,0.79,96952,34.74036587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Ethylhydracrylic acid,118.0630,0.79,164207,34.6573375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MFCD18642139,118.0630,0.79,116413,33.18941782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a-Methyl-b-hydroxybutyric acid,118.0630,0.79,141015,36.15261976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C113_RP,1-Methylhistamine,125.0954,3.27,0.8,0.3,0.1,1.5,2.1,0.6,2.0,2.9,0.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.495936610372820000000000000000E-02,2.455647342986250000000000000000E-03,9.999999999961730000000000000000E-01,1.050053076467070000000000000000E-02,1.321329240398110000000000000000E-04,4.209821799730850000000000000000E-01,7.3E+06,1.9E+07,1.1E+07,1.1E+07,8.5E+06,1.5E+07,1.4E+07,2.0E+07,4.2E+06,4.8E+06,3.2E+06,3.7E+06,2.2E+06,3.4E+06,3.7E+06,5.5E+06,4.8E+06,4.0E+06,3.1E+06,3.0E+06,1.2E+06,1.7E+06,1.5E+06,1.2E+06,2.1E+05,2.3E+05,2.9E+05,2.8E+05,1.5E+05,1.9E+05,2.8E+05,51.0,63.2,22.8,25.2,25.7,30.5,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"imidazole, 5-(2-aminoethyl)-1-methyl-",125.0953,0.80,62725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Methylhistamine,125.0953,0.80,34368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N.alpha.-Methylhistamine,125.0953,0.80,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Methylhistamine,125.0953,0.80,3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Methylhistamine,125.0953,0.80,82722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C114_RP,Dihydrothymine,128.0587,4.38,0.0,-0.2,-0.2,4.5,4.3,-0.1,4.6,4.5,-0.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.553931608389010000000000000000E-09,1.666767518706300000000000000000E-09,9.999999999961730000000000000000E-01,5.079784148875890000000000000000E-10,2.199746467704330000000000000000E-10,9.999999999925950000000000000000E-01,2.2E+08,2.5E+08,2.3E+08,1.7E+08,2.0E+08,3.4E+08,2.2E+08,1.8E+08,9.0E+06,9.1E+06,1.1E+07,5.8E+06,8.7E+06,1.1E+07,1.1E+07,8.7E+06,1.7E+07,9.6E+06,9.9E+06,9.7E+06,8.0E+06,9.8E+06,1.2E+07,4.5E+06,3.6E+06,3.2E+06,3.0E+06,2.8E+06,2.5E+06,2.6E+06,2.6E+06,31.2,31.7,23.4,13.5,33.3,4.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Oxo-1-pyrrolidinecarboxamide,128.0586,0.73,289577,45.85752843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-Amino-4-cyanobutanoic acid,128.0586,0.73,389638,22.10987978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Nitrilonorvaline,128.0586,0.73,389639,22.10987978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dihydrothymine,128.0586,0.73,84456,58.9596794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3-Methyl-2,5-piperazinedione",128.0586,0.73,96562,32.75537745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pyroglutamine,128.0586,0.73,118562,39.30645294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C115_RP,Timonacic,133.0199,4.69,0.5,0.5,1.6,2.2,0.4,-1.8,2.2,-0.7,-2.9,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.305202321718320000000000000000E-02,1.000000000000000000000000000000E+00,1.223232666029460000000000000000E-01,2.026893704448210000000000000000E-01,1.000000000000000000000000000000E+00,2.185676607314290000000000000000E-02,7.1E+06,2.9E+07,8.9E+06,6.1E+06,1.3E+07,2.0E+07,9.7E+06,5.2E+06,1.6E+06,3.1E+06,2.2E+06,2.7E+06,1.9E+06,2.3E+06,3.1E+06,9.2E+06,6.4E+06,1.1E+07,5.4E+06,8.3E+06,1.1E+07,4.2E+07,7.6E+06,3.1E+07,1.5E+05,1.3E+05,1.1E+05,9.9E+04,8.5E+04,7.4E+04,7.6E+04,69.9,30.9,75.3,30.0,76.8,23.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timonacic,133.0198,0.79,9546,36.62038802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C116_RP,Phosphoryethanolamine,141.0192,3.73,0.1,-0.2,-0.2,-0.7,-0.6,0.1,-0.4,-0.3,0.1,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.213973745983580000000000000000E-05,6.730074330956580000000000000000E-05,9.999999999961730000000000000000E-01,3.323120787715330000000000000000E-03,1.121333898225720000000000000000E-02,9.999999999925950000000000000000E-01,4.8E+08,5.6E+08,5.2E+08,5.1E+08,5.3E+08,5.9E+08,5.3E+08,5.2E+08,8.1E+08,7.1E+08,8.3E+08,7.0E+08,8.0E+08,7.2E+08,8.3E+08,8.0E+08,8.8E+08,8.3E+08,8.2E+08,6.6E+08,7.2E+08,6.4E+08,6.8E+08,6.8E+08,2.2E+05,3.2E+05,1.9E+05,1.6E+05,2.2E+05,1.3E+05,1.6E+05,12.1,12.2,6.5,2.0,6.6,4.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phosphoryethanolamine,141.0191,0.74,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-hydroxy-2-aminoethylphosphonic acid,141.0191,0.74,389626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C117_RP,Stachydrine,143.0947,4.69,0.2,0.0,-0.1,1.4,-3.9,-5.3,1.6,-3.6,-5.2,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,3.611086699180840000000000000000E-01,4.541370243471570000000000000000E-06,6.078914093838000000000000000000E-07,9.185510855884710000000000000000E-02,3.231738477559700000000000000000E-05,8.340229607634030000000000000000E-07,5.9E+05,1.2E+06,9.2E+05,7.0E+05,9.6E+05,1.1E+06,4.3E+05,7.0E+05,3.4E+05,2.7E+05,2.4E+05,1.4E+05,1.5E+05,3.2E+05,7.3E+05,6.8E+05,1.7E+07,1.3E+07,1.3E+07,9.4E+06,9.5E+06,1.1E+07,9.2E+06,7.3E+06,3.7E+05,9.3E+04,5.6E+05,2.5E+05,2.9E+05,3.9E+05,3.6E+05,24.2,29.8,65.8,69.6,26.5,35.8,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-(trimethylammonio)but-2-enoate,143.0946,0.74,4575319,32.83365964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-(4-Morpholinyl)propanal,143.0946,0.74,9280618,31.62638163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Methylenenorleucine,143.0946,0.74,35013193,39.04896303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8-Azabicyclo[3.2.1]octane-3,6-diol",143.0946,0.74,20057355,33.42318119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Dimethyl-2-pyrrolidiniumcarboxylate",143.0946,0.74,21240345,40.61635043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stachydrine,143.0946,0.74,103115,40.61635043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C118_RP,3-Methylenenorleucine,143.0947,3.32,0.0,0.8,0.1,5.0,5.1,0.2,4.2,5.1,0.8,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.095497318645230000000000000000E-07,1.151844390660010000000000000000E-06,9.999999999961730000000000000000E-01,4.102007915922760000000000000000E-06,2.362677060108180000000000000000E-07,7.019144912983470000000000000000E-01,9.4E+06,1.2E+07,1.0E+07,8.9E+06,1.0E+07,9.9E+06,9.0E+06,1.0E+07,1.8E+05,5.7E+05,9.0E+05,4.9E+05,4.2E+05,5.5E+05,2.0E+05,5.1E+05,2.8E+05,2.9E+05,1.4E+06,3.0E+05,2.8E+05,3.2E+05,2.7E+05,2.9E+05,8.0E+05,8.1E+05,1.8E+05,6.9E+05,8.1E+05,8.2E+05,6.9E+05,4.4,99.6,6.8,78.4,10.9,4.9,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-(trimethylammonio)but-2-enoate,143.0946,0.75,4575319,47.24144171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-(4-Morpholinyl)propanal,143.0946,0.75,9280618,45.52837251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3-Methylenenorleucine,143.0946,0.75,35013193,56.81816975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"8-Azabicyclo[3.2.1]octane-3,6-diol",143.0946,0.75,20057355,48.84984711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,1-Dimethyl-2-pyrrolidiniumcarboxylate",143.0946,0.75,21240345,59.6223601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stachydrine,143.0946,0.75,103115,59.6223601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C119_RP,"3,4-dehydrothiomorpholine-3-carboxylic acid",145.0198,6.03,0.2,0.5,-0.2,1.3,1.0,-0.3,1.0,1.5,0.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,2.502848340054690000000000000000E-02,8.949138706482170000000000000000E-03,9.999999999961730000000000000000E-01,1.102077695273680000000000000000E-01,5.081317830581550000000000000000E-03,8.669325889122160000000000000000E-01,4.1E+07,5.7E+07,4.3E+07,3.7E+07,4.2E+07,8.2E+07,4.8E+07,4.3E+07,1.6E+07,2.6E+07,1.6E+07,2.8E+07,1.9E+07,2.4E+07,2.0E+07,2.4E+07,2.1E+07,1.5E+07,6.2E+06,1.9E+07,2.5E+07,1.8E+07,2.2E+07,2.2E+07,1.4E+05,1.1E+05,1.0E+05,8.2E+04,7.3E+04,6.7E+04,6.2E+04,15.5,45.1,7.3,10.3,36.5,7.2,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"(S)-4-amino-4,5-dihydro-2-thiophenecarboxylic acid",145.0198,0.45,18552670,22.32664947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"3,4-dehydrothiomorpholine-3-carboxylic acid",145.0198,0.45,163623,44.65329894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C120_RP,hydroxyacetone phosphate,154.0032,4.19,0.1,0.2,-0.3,2.4,3.4,1.1,2.3,3.9,1.6,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,6.984348486960540000000000000000E-06,1.811434991203260000000000000000E-08,1.358881248520690000000000000000E-02,8.923034269639040000000000000000E-06,4.723052340383860000000000000000E-09,1.286198301843300000000000000000E-03,6.9E+06,9.1E+06,8.4E+06,7.4E+06,6.8E+06,1.2E+07,1.0E+07,7.5E+06,1.6E+06,2.0E+06,1.2E+06,1.6E+06,1.5E+06,1.3E+06,1.5E+06,1.8E+06,7.1E+05,7.7E+05,7.2E+05,3.8E+05,7.4E+05,9.2E+05,4.3E+05,3.6E+05,7.7E+04,8.2E+04,7.9E+04,7.6E+04,7.6E+04,7.2E+04,6.9E+04,46.7,22.7,17.5,12.6,22.5,20.0,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Propanoyl phosphate,154.0031,0.50,1007,16.19061853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"glycerol 1,2-cyclic phosphate",154.0031,0.50,389161,16.44761248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hydroxyacetone phosphate,154.0031,0.50,132971,18.50356404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C121_RP,Pregabalin,159.1260,5.38,-1.0,-0.2,-0.1,-0.6,-0.2,0.4,-1.5,-1.1,0.4,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.999999999961730000000000000000E-01,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,9.999999999925950000000000000000E-01,1.2E+08,8.9E+07,1.8E+08,2.9E+08,2.8E+08,5.9E+07,5.8E+07,2.8E+07,3.2E+07,2.7E+07,4.6E+08,3.1E+08,3.8E+08,3.4E+08,8.5E+07,9.7E+07,2.0E+08,1.7E+08,1.5E+08,1.1E+08,1.6E+08,1.4E+08,1.8E+08,2.6E+08,3.7E+05,3.4E+05,3.3E+05,3.1E+05,3.0E+05,3.0E+05,2.9E+05,36.5,13.4,79.9,89.0,101.1,59.4,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pregabalin,159.1259,0.60,4589156,18.30570656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RH0365500,159.1259,0.60,62727,18.30570656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C122_RP,6-Deoxy-D-arabino-hexos-2-ulose,162.0529,10.73,0.0,-0.1,-0.1,-0.8,2.7,3.5,-0.7,2.8,3.5,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,1.000000000000000000000000000000E+00,5.532283308815010000000000000000E-03,1.044769335825400000000000000000E-03,1.000000000000000000000000000000E+00,4.814142084519930000000000000000E-03,1.380992753654330000000000000000E-03,8.4E+06,1.4E+07,9.1E+06,8.0E+06,8.6E+06,6.9E+06,9.2E+06,9.7E+06,1.6E+07,1.5E+07,1.5E+07,1.4E+07,2.0E+07,1.7E+07,1.2E+07,1.4E+07,1.2E+06,1.3E+06,1.6E+06,1.2E+05,1.6E+06,1.8E+06,1.2E+05,1.2E+06,8.8E+04,9.0E+04,9.9E+04,9.5E+04,7.7E+04,8.9E+04,8.2E+04,62.8,62.0,10.1,19.9,33.5,4.6,,,
,Name,Molecular Weight,DeltaMass [ppm],CSID,mzLogic Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-L-rhamnonic acid,162.0528,0.59,5256701,53.91225069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-D-fuconic acid,162.0528,0.59,4573654,53.91225069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-dehydro-3-deoxy-L-fuconic acid,162.0528,0.59,4573655,53.91225069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82278,162.0528,0.59,4573835,56.7327372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2(R)-Hydroxyadipic acid,162.0528,0.59,8031259,56.04048848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-hydroxymethylglutaric acid,162.0528,0.59,8436868,50.86631704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
